units_sold,discount_applied,revenue,clicks,impressions,conversion_rate,category,region,ad_ctr,ad_cpc,ad_spend,transaction_date_update,roi
455,0.12,3066.31,21,119,0.18,Electronics,Europe,0.1075,1.5,161.25,Nov-2024,1801.5875968992248
114,0.25,910.82,25,88,0.28,Books,Asia,0.0682,0.93,63.43,Aug-2024,1335.9451363708026
137,0.27,929.79,18,418,0.04,Clothing,Europe,0.058,1.1,63.8,Nov-2024,1357.3510971786834
149,0.16,327.42,5,421,0.01,Electronics,Europe,0.1717,1.16,199.17,Apr-2024,64.39222774514236
128,0.02,128.51,37,96,0.39,Toys,Asia,0.0901,1.28,115.33,Dec-2024,11.428075955952478
147,0.09,404.18,32,264,0.12,Electronics,Europe,0.0637,0.43,27.39,Aug-2024,1375.6480467323843
125,0.03,810.0,23,11,2.09,Clothing,Asia,0.1556,0.33,51.35,May-2024,1477.4099318403114
125,0.11,175.37,34,241,0.14,Clothing,Asia,0.0526,1.1,57.86,Oct-2024,203.09367438645006
158,0.22,1062.52,39,369,0.11,Home Appliances,North America,0.0597,1.73,103.28,Feb-2024,928.7761425251742
126,0.04,1008.14,32,266,0.12,Books,Europe,0.1474,1.18,173.93,Jul-2024,479.62398666130053
146,0.28,43.25,27,364,0.07,Books,North America,0.1356,1.59,215.6,Nov-2024,-79.93970315398887
132,0.12,901.48,37,103,0.36,Toys,Asia,0.1953,1.28,249.98,Jul-2024,260.6208496679734
138,0.08,506.9,1,103,0.01,Electronics,Asia,0.0522,1.01,52.72,Jul-2024,861.4946889226098
136,0.01,411.47,23,210,0.11,Clothing,Europe,0.0675,1.17,78.98,Nov-2024,420.97999493542665
118,0.08,11.02,38,198,0.19,Home Appliances,Asia,0.135,0.16,21.6,Aug-2024,-48.98148148148149
151,0.19,248.44,7,381,0.02,Electronics,Europe,0.1929,0.35,67.51,Oct-2024,268.0047400385128
129,0.25,352.36,30,288,0.1,Toys,Asia,0.142,0.58,82.36,Jul-2024,327.82904322486644
121,0.22,441.32,12,124,0.1,Home Appliances,Asia,0.0155,0.49,7.6,May-2024,5706.8421052631575
145,0.07,894.51,15,61,0.25,Toys,Europe,0.0103,1.52,15.66,May-2024,5612.068965517241
127,0.04,895.88,37,10,3.7,Books,Europe,0.0447,0.41,18.33,Aug-2024,4787.506819421714
117,0.28,1392.28,38,355,0.11,Books,Asia,0.1511,1.8,271.98,Aug-2024,411.9052871534671
125,0.05,188.7,36,450,0.08,Books,Europe,0.1828,0.98,179.14,Dec-2023,5.3366082393658605
117,0.09,1023.64,41,305,0.13,Books,Asia,0.1697,1.83,310.55,Nov-2024,229.62163902753176
127,0.02,934.21,48,245,0.2,Clothing,Asia,0.0893,1.22,108.95,Mar-2024,757.466727856815
134,0.05,177.27,1,184,0.01,Toys,Asia,0.1214,0.34,41.28,Nov-2024,329.4331395348837
139,0.15,47.76,16,295,0.05,Electronics,Asia,0.1401,1.14,159.71,Dec-2023,-70.095798635026
116,0.2,1083.74,16,428,0.04,Books,Asia,0.0357,0.64,22.85,May-2024,4642.844638949672
141,0.25,298.44,43,12,3.58,Electronics,Asia,0.1262,0.65,82.03,Dec-2024,263.8181153236621
167,0.16,1141.23,15,373,0.04,Clothing,North America,0.0915,1.4,128.1,Jul-2024,790.8899297423889
159,0.16,110.43,20,348,0.06,Home Appliances,North America,0.03,1.38,41.4,Jun-2024,166.73913043478262
167,0.04,768.7,42,223,0.19,Clothing,North America,0.1775,0.62,110.05,Feb-2024,598.5006815084054
132,0.22,278.6,28,356,0.08,Home Appliances,Europe,0.161,1.28,206.08,Feb-2024,35.19021739130435
141,0.01,1145.15,31,245,0.13,Electronics,Asia,0.0782,1.76,137.63,Oct-2024,732.049698466904
120,0.29,167.25,36,67,0.54,Home Appliances,Asia,0.1585,0.74,117.29,Nov-2024,42.59527666467729
161,0.08,634.28,44,485,0.09,Home Appliances,North America,0.1306,0.11,14.37,Aug-2024,4313.917884481559
164,0.08,451.2,7,131,0.05,Clothing,North America,0.0729,1.87,136.32,Sep-2024,230.98591549295776
149,0.08,355.45,19,330,0.06,Books,North America,0.0593,0.8,47.44,Jan-2024,649.2622259696459
142,0.25,70.5,3,373,0.01,Electronics,Asia,0.0102,1.26,12.85,Sep-2024,448.63813229571986
135,0.24,660.63,42,205,0.2,Toys,Asia,0.1225,0.54,66.15,Mar-2024,898.6848072562358
161,0.21,1106.67,42,188,0.22,Home Appliances,North America,0.1136,0.32,36.35,Oct-2024,2944.4841815680884
139,0.22,152.44,38,339,0.11,Electronics,Asia,0.0443,0.18,7.97,Aug-2024,1812.6725219573402
150,0.12,256.54,35,138,0.25,Toys,Europe,0.0135,0.46,6.21,Dec-2023,4031.0789049919485
129,0.2,803.81,45,408,0.11,Books,Europe,0.1858,0.66,122.63,Jan-2024,555.4758215771019
154,0.23,214.26,25,221,0.11,Electronics,Europe,0.0462,0.7,32.34,May-2024,562.5231910946196
127,0.21,104.0,18,262,0.07,Clothing,Asia,0.0264,1.66,43.82,Jul-2024,137.33455043359197
118,0.18,388.78,48,285,0.17,Books,Asia,0.0667,1.13,75.37,Jul-2024,415.8285790102162
136,0.05,1101.05,41,319,0.13,Toys,Asia,0.1559,0.12,18.71,Aug-2024,5784.820951362906
138,0.23,1400.97,22,456,0.05,Home Appliances,Europe,0.0752,1.1,82.72,May-2024,1593.6291102514508
185,0.3,321.66,0,13,0.0,Electronics,North America,0.0478,1.85,88.43,Apr-2024,263.74533529345246
158,0.13,1094.6,13,457,0.03,Electronics,Europe,0.0457,0.35,16.0,Apr-2024,6741.249999999999
120,0.24,424.02,15,112,0.13,Books,Asia,0.0667,0.99,66.03,May-2024,542.1626533393912
142,0.09,125.91,29,341,0.09,Electronics,Asia,0.1499,0.78,116.92,Apr-2024,7.689018132056102
161,0.27,257.87,49,493,0.1,Home Appliances,North America,0.0783,0.71,55.59,Sep-2024,363.8783953948552
179,0.1,1008.65,27,196,0.14,Toys,North America,0.1387,0.23,31.9,Jul-2024,3061.912225705329
141,0.13,623.69,40,295,0.14,Electronics,Asia,0.1825,0.66,120.45,May-2024,417.79991697799926
132,0.3,643.94,5,383,0.01,Clothing,Asia,0.0665,0.67,44.56,Mar-2024,1345.107719928187
184,0.21,631.81,48,428,0.11,Electronics,North America,0.1285,0.4,51.4,Sep-2024,1129.2023346303502
148,0.21,183.13,43,479,0.09,Toys,Europe,0.1625,0.55,89.38,Apr-2024,104.88923696576416
148,0.08,455.0,7,253,0.03,Toys,Europe,0.0218,0.3,6.54,Jun-2024,6857.186544342507
120,0.29,843.08,41,445,0.09,Books,Asia,0.11,1.72,189.2,Sep-2024,345.6025369978859
118,0.17,555.97,16,493,0.03,Books,Asia,0.055,1.63,89.65,Jun-2024,520.1561628555494
185,0.28,924.76,35,482,0.07,Electronics,North America,0.1702,0.2,34.04,Dec-2023,2616.68625146886
138,0.27,1019.58,27,177,0.15,Toys,Asia,0.0901,1.68,151.37,Jan-2024,573.5680782189338
154,0.15,280.58,27,206,0.13,Electronics,Europe,0.1738,0.19,33.02,Apr-2024,749.7274379164141
132,0.07,729.23,9,302,0.03,Books,Europe,0.1872,0.32,59.9,Jan-2024,1117.4123539232055
124,0.1,813.75,48,454,0.11,Home Appliances,Asia,0.0482,0.72,34.7,Feb-2024,2245.100864553314
162,0.27,164.89,21,16,1.31,Home Appliances,North America,0.1657,0.72,119.3,May-2024,38.21458507963118
162,0.26,648.34,20,299,0.07,Home Appliances,North America,0.1834,0.89,163.23,Jul-2024,297.1941432334743
135,0.22,235.32,8,462,0.02,Toys,Asia,0.0471,1.69,79.6,Sep-2024,195.6281407035176
132,0.11,750.86,18,190,0.09,Books,Europe,0.096,0.43,41.28,Jun-2024,1718.9437984496124
179,0.0,1442.76,48,230,0.21,Toys,North America,0.0896,0.94,84.22,Mar-2024,1613.0847779624792
139,0.01,358.22,0,26,0.0,Toys,Asia,0.1292,1.14,147.29,May-2024,143.2072781587345
119,0.03,584.44,20,131,0.15,Books,Asia,0.0232,0.93,21.58,Jan-2024,2608.248378127896
168,0.24,272.0,25,428,0.06,Clothing,North America,0.13,0.66,85.8,Feb-2024,217.01631701631703
139,0.01,418.33,4,413,0.01,Toys,Asia,0.1484,0.51,75.68,Aug-2024,452.7616279069766
171,0.06,812.27,15,30,0.5,Clothing,North America,0.1923,0.3,57.69,Sep-2024,1307.9909863061187
136,0.29,264.95,30,467,0.06,Home Appliances,Europe,0.1609,0.37,59.53,Sep-2024,345.069712749874
158,0.19,691.61,34,243,0.14,Books,North America,0.0931,0.97,90.31,Jul-2024,665.8177388993466
146,0.28,692.32,14,382,0.04,Clothing,Europe,0.1519,0.65,98.74,May-2024,601.1545472959288
158,0.19,572.09,29,302,0.1,Electronics,Europe,0.0708,0.44,31.15,Jul-2024,1736.5650080256823
130,0.07,102.48,12,80,0.15,Books,Europe,0.0286,1.3,37.18,Apr-2024,175.63206024744488
163,0.15,564.04,13,196,0.07,Home Appliances,North America,0.0476,1.26,59.98,Jan-2024,840.3801267089029
137,0.03,227.53,11,197,0.06,Home Appliances,Europe,0.1717,1.95,334.82,Apr-2024,-32.04408338808912
133,0.05,229.6,41,397,0.1,Clothing,Asia,0.1402,1.69,236.94,Apr-2024,-3.097830674432347
134,0.3,1188.77,0,488,0.0,Clothing,Asia,0.0409,1.88,76.89,Apr-2024,1446.0658082975679
154,0.05,849.68,39,80,0.49,Toys,Europe,0.0481,0.95,45.69,Aug-2024,1759.6629459400308
171,0.14,314.98,27,381,0.07,Clothing,North America,0.07,1.61,112.7,Jan-2024,179.48535936113578
121,0.17,85.27,31,444,0.07,Books,Asia,0.1251,0.82,102.58,Jul-2024,-16.874634431663093
127,0.3,601.61,13,123,0.11,Home Appliances,Asia,0.1725,0.89,153.52,Dec-2023,291.87727983324646
157,0.14,848.67,48,469,0.1,Books,North America,0.1867,0.59,110.15,Jan-2024,670.4675442578302
159,0.08,1540.26,27,225,0.12,Books,North America,0.0195,0.44,8.58,Jan-2024,17851.748251748253
140,0.14,438.6,27,75,0.36,Home Appliances,Europe,0.0298,1.9,56.62,Feb-2024,674.637937124691
158,0.28,376.9,35,33,1.06,Books,North America,0.1826,1.43,261.12,Aug-2024,44.339767156862735
159,0.25,65.13,35,167,0.21,Books,North America,0.1623,0.28,45.44,Sep-2024,43.331866197183096
175,0.29,490.24,1,286,0.0,Clothing,North America,0.1152,0.89,102.53,May-2024,378.1429825416951
191,0.25,886.8,1,475,0.0,Electronics,North America,0.0638,1.67,106.55,Oct-2024,732.2853120600657
120,0.22,326.47,44,269,0.16,Books,Asia,0.0938,1.38,129.44,Jun-2024,152.21724351050682
142,0.05,668.52,7,104,0.07,Home Appliances,Europe,0.1398,0.55,76.89,Nov-2024,769.4498634412797
190,0.04,774.85,32,126,0.25,Electronics,North America,0.0581,0.46,26.73,Sep-2024,2798.802843247288
146,0.08,797.14,46,261,0.18,Electronics,Asia,0.1881,1.22,229.48,Aug-2024,247.36796234966013
148,0.0,1214.55,9,376,0.02,Clothing,Europe,0.0822,1.03,84.67,Apr-2024,1334.4513995511986
148,0.01,421.65,20,162,0.12,Clothing,Europe,0.1214,0.96,116.54,Jan-2024,261.80710485670147
136,0.17,687.51,45,383,0.12,Clothing,Asia,0.1289,0.45,58.0,Jun-2024,1085.3620689655172
177,0.09,537.41,6,219,0.03,Clothing,North America,0.1344,1.82,244.61,Mar-2024,119.70074812967579
148,0.23,610.15,33,410,0.08,Electronics,Asia,0.0122,0.17,2.07,Oct-2024,29375.84541062802
159,0.07,468.86,25,490,0.05,Books,North America,0.1198,0.88,105.42,May-2024,344.7543160690571
128,0.22,770.8,25,63,0.4,Home Appliances,Asia,0.0288,0.6,17.28,Mar-2024,4360.648148148148
154,0.16,279.57,46,463,0.1,Toys,Europe,0.0246,0.55,13.53,Aug-2024,1966.29711751663
135,0.16,631.39,37,194,0.19,Clothing,Asia,0.1812,0.99,179.39,Oct-2024,251.96499247449694
148,0.28,269.51,9,186,0.05,Electronics,Asia,0.0647,0.92,59.52,Aug-2024,352.8057795698924
143,0.29,489.5,19,425,0.04,Home Appliances,Europe,0.1337,0.29,38.77,Apr-2024,1162.574155274697
124,0.03,1009.38,41,491,0.08,Books,Asia,0.1452,1.71,248.29,Nov-2024,306.5326835555198
175,0.24,1032.54,12,329,0.04,Clothing,North America,0.0291,0.79,22.99,Mar-2024,4391.257068290561
148,0.24,1301.52,17,332,0.05,Electronics,Asia,0.0707,0.73,51.61,May-2024,2421.8368533229996
140,0.28,411.93,37,114,0.32,Home Appliances,Europe,0.0429,1.25,53.62,Jul-2024,668.2394628869826
162,0.13,790.52,8,211,0.04,Electronics,Europe,0.0574,1.08,61.99,Oct-2024,1175.2379416034844
157,0.2,340.98,23,305,0.08,Books,North America,0.0535,0.88,47.08,Jan-2024,624.2565845369585
163,0.14,542.75,37,390,0.09,Electronics,Europe,0.1194,0.49,58.51,Jun-2024,827.6192103913861
136,0.13,1120.86,10,433,0.02,Books,Europe,0.0181,1.81,32.76,Mar-2024,3321.4285714285716
193,0.11,474.3,44,378,0.12,Electronics,North America,0.0509,1.78,90.6,Nov-2024,423.5099337748345
